Quarter,OffenseTeam,Down,ToGo,YardLine,FieldSide,Formation,PlayType,Yards,Runner,Target,IsIncomplete,IsDrop,IsTouchdown,PassType,RushDirection,IsSack,IsInterception,IsFumble,IsTurnover,IsPenalty,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
1,dolphins,1,10,25,dolphins,undercenter,run,7,Mostert,,,,,,right,,,,,,,,,,
1,dolphins,2,3,32,dolphins,shotgun,pass,6,,Waddle,,,,screen,,,,,,,,,,,
1,dolphins,1,10,38,dolphins,shotgun,pass,14,,Waddle,,,,middle,,,,,,,,,,,
1,dolphins,1,10,48,ravens,shotgun,run,3,Mostert,,,,,,left,,,,,,,,,,
1,dolphins,2,7,45,ravens,shotgun,pass,0,,Waddle,1,,,middle left,,,,,,,,,,,
1,dolphins,3,7,45,ravens,shotgun,pass,12,,Geseicki,,,,middle,,,,,,,,,,,
1,dolphins,1,10,33,ravens,undercenter,run,4,Mostert,,,,,,,,,,,,,,,,
1,dolphins,2,6,29,ravens,shotgun,pass,0,,,1,,,,,,1,,,,,,,,
1,ravens,1,10,20,ravens,shotgun,run,3,Drake,,,,,,middle,,,,,,,,,,
1,ravens,2,7,23,ravens,shotgun,pass,0,,Andrews,1,,,middle right,,,,,,,,,,,
1,ravens,3,7,23,ravens,shotgun,pass,17,,Bateman,,,,middle left,,,,,,,,,,,
1,ravens,1,10,40,ravens,undercenter,run,6,Drake,,,,,,right,,,,,,,,,,
1,ravens,2,4,46,ravens,shotgun,run,3,Davis,,,,,,middle,,,,,,,,,,
1,ravens,3,1,49,ravens,undercenter,run,5,Ricard,,,,,,middle,,,,,,,,,,
1,ravens,1,10,46,dolphins,undercenter,pass,9,,Bateman,,,,middle left,,,,,,,,,,,
1,ravens,2,1,37,dolphins,undercenter,run,0,Davis,,,,,,middle,,,,,,,,,,
1,ravens,3,1,37,dolphins,undercenter,run,0,Davis,,,,,,middle,,,,,,,,,,
1,ravens,4,1,37,dolphins,shotgun,run,3,Andrews,,,,,,middle,,,,,,,,,,
1,ravens,1,10,34,dolphins,shotgun,penalty,-5,,,,,,,,,,,,1,1,Ravens,1,dog,5
1,ravens,1,15,39,dolphins,shotgun,pass,4,,Likely,,,,screen left,,,,,,,,,,,
1,ravens,2,11,35,dolphins,shotgun,penalty,5,,,,,,,,,,,,1,1,Dolphins,1,tm,5
1,ravens,2,6,30,dolphins,shotgun,pass,16,,Andrews,,,,middle,,,,,,,,,,,
1,ravens,1,10,14,dolphins,undercenter,run,1,Drake,,,,,,left,,,,,,,,,,
1,ravens,2,9,13,dolphins,undercenter,run,9,Jackson,,,,,,right,,,,,,,,,,
1,ravens,1,4,4,dolphins,shotgun,penalty,2,,,,,,,,,,,,1,1,Dolphins,1,fm,2
1,ravens,1,2,2,dolphins,shotgun,run,1,Davis,,,,,,middle,,,,,,,,,,
1,ravens,2,1,1,dolphins,undercenter,run,0,Davis,,,,,,middle,,,,,,,,,,
2,ravens,3,1,1,dolphins,shotgun,run,0,Jackson,,,,,,middle,,,,,,,,,,
2,ravens,4,1,1,dolphins,undercenter,run,,Jackson,,,,,,,,,1,1,,,,,,
2,dolphins,1,10,6,dolphins,undercenter,run,-3,Mostert,,,,,,left,,,,,,,,,,
2,dolphins,2,13,3,dolphins,shotgun,pass,59,,Waddle,,,,middle,,,,,,,,,,,
2,dolphins,1,10,38,ravens,shotgun,pass,15,,Hill,,,,screen left,,,,,,,,,,,
2,dolphins,1,10,23,ravens,undercenter,pass,12,,Sherfield,,,,short left,,,,,,,,,,,
2,dolphins,1,10,11,ravens,undercenter,pass,5,,Smythe,,,,short left,,,,,,,,,,,
2,dolphins,2,5,6,ravens,shotgun,pass,6,,Waddle,,,1,screen left,,,,,,,,,,,
2,ravens,1,10,25,ravens,shotgun,pass,75,,Bateman,,,1,middle,,,,,,,,,,,
2,dolphins,1,10,25,dolphins,undercenter,pass,5,,Hill,,,,short left,,,,,,,,,,,
2,dolphins,2,5,30,dolphins,undercenter,run,3,Edmonds,,,,,,middle,,,,,,,,,,
2,dolphins,3,2,33,dolphins,shotgun,pass,1,,Hill,,,,short left,,,,,,,,,,,
2,dolphins,4,1,34,dolphins,shotgun,run,1,Ingold,,,,,,middle,,,,,,,,,,
2,dolphins,1,10,35,dolphins,shotgun,pass,0,,Edmonds,,,,short middle,,,,,,,,,,,
2,dolphins,2,10,35,dolphins,shotgun,pass,-8,,,,,,,,1,,,,,,,,,
2,dolphins,3,18,23,dolphins,shotgun,pass,0,,Edmonds,,,,short right,,,,,,1,,Dolphins,,IMDF,
2,ravens,1,10,34,ravens,shotgun,run,,,Jackson,,,,,middle,,,,,,,,,,
2,ravens,2,3,37,ravens,shotgun,pass,7,,Bateman,,,,midddle left,,,,,,,,,,,
2,ravens,1,10,45,ravens,shotgun,run,5,Hill,,,,,,right,,,,,,,,,,
2,ravens,2,5,50,ravens,shotgun,run,14,Jackson,,,,,,right,,,,,1,1,Dolphins,,H,5
2,ravens,1,10,31,dolphins,shotgun,pass,30,,Andrews,,,,deep middle,,,,,,,,,,,
2,ravens,1,1,1,dolphins,undercenter,pass,1,,Andrews,,,1,short left,,,,,,,,,,,
2,dolphins,1,10,25,dolphins,undercenter,pass,0,,Hill,1,,,,,,,,,,,,,,
2,dolphins,2,10,25,dolphins,shotgun,pass,11,,Mostert,,,,short middle,,,,,,,,,,,
2,dolphins,1,10,36,dolphins,undercenter,run,5,Mostert,,,,,,left,,,,,,,,,,
2,dolphins,2,5,41,dolphins,undercenter,pass,0,,Waddle,,,,middle right,,,,,,,,,,,
2,dolphins,3,5,41,dolphins,shotgun,pass,4,,Waddle,,,,short right,,,,,,,,,,,
2,dolphins,4,1,45,dolphins,undercenter,run,1,Tua,,,,,,middle,,,,,,,,,,
2,dolphins,1,10,46,dolphins,undercenter,pass,0,,Waddle,,,,middle right,,,,,,,,,,,
2,dolphins,2,10,46,dolphins,shotgun,pass,0,,Waddle,1,,,,,,1,,1,,,,,,
2,ravens,1,10,20,ravens,shotgun,run,6,Jackson,,,,,middle,,,,,,,,,,,
2,ravens,2,4,26,ravens,shotgun,pass,34,,Likely,,,,deep right,,,,,,,,,,,
2,ravens,1,10,40,dolphins,shotgun,run,13,Hill,,,,,,right,,,,,,,,,,
2,ravens,1,10,27,dolphins,shotgun,penalty,5,,,,,,,,,,,,1,1,Dolphins,,OS,5
2,ravens,1,5,22,dolphins,shotgun,pass,10,,Andrews,,,,middle,,,,,,,,,,,
2,ravens,1,10,12,dolphins,shotgun,pass,0,,Robinson,1,,,middle right,,,,,,,,,,,
2,ravens,2,10,12,dolphins,shotgun,pass,12,,Robinson,,,1,middle,,,,,,,,,,,
2,dolphins,1,10,25,dolphins,undercenter,run,2,Mostert,,,,,,left,,,,,,,,,,
3,dolphins,1,10,25,dolphins,shotgun,pass,3,,Hill,,,,screen left,,,,,,,,,,,
3,dolphins,2,7,28,dolphins,undercenter,run,10,Mostert,,,,,middle,,,,,,,,,,,
3,dolphins,1,10,38,dolphins,shotgun,pass,14,,Mostert,,,,short left,,,,,,,,,,,
3,dolphins,1,10,48,ravens,undercenter,run,9,Mostert,,,,,,right,,,,,,,,,,
3,dolphins,1,10,39,ravens,undercenter,run,4,Edmonds,,,,,,middle,,,,,,,,,,
3,dolphins,1,10,35,ravens,undercenter,run,-4,Edmonds,,,,,,left,,,,,,,,,,
3,dolphins,2,14,39,ravens,shotgun,penalty,10,,,,,,,,,,,,1,1,Dolphins,1,H,10
3,dolphins,2,24,49,ravens,shotgun,pass,14,,Hill,,,,middle,,,,,,,,,,,
3,dolphins,3,10,35,ravens,shotgun,pass,11,,Waddle,,,,middle right,,,,,,1,,Ravens,,OFF,5
3,dolphins,1,10,24,ravens,undercenter,pass,13,,Ingold,,,,short left,,,,,,,,,,,
3,dolphins,1,10,11,ravens,shotgun,pass,-3,,Sherfield,,,,screen right,,,,,,,,,,,
3,dolphins,2,13,14,ravens,shotgun,pass,0,,Waddle,1,,,,,,,,,,,,,,
3,dolphins,3,13,14,ravens,shotgun,pass,14,,Geseicki,,,1,deep middle,,,,,,,,,,,
3,ravens,1,10,25,ravens,shotgun,pass,0,,Bateman,1,,,short left,,,,,,,,,,,
3,ravens,2,10,25,ravens,shotgun,pass,3,,Likely,,,,screen right,,,,,,,,,,,
3,ravens,3,7,28,ravens,shotgun,pass,6,,Andrews,,,,short middle,,,,,,,,,,,
3,dolphins,1,10,29,dolphins,shotgun,run,7,Mostert,,,,,,middle,,,,,,,,,,
3,dolphins,2,3,36,dolphins,undercenter,run,1,Mostert,,,,,,middle,,,,,,,,,,
3,dolphins,3,2,37,dolphins,shotgun,pass,10,,Hill,,,,middle,,,,,,,,,,,
3,dolphins,1,10,47,dolphins,shotgun,pass,4,,Mostert,,,,short right,,,,,,,,,,,
3,dolphins,2,6,49,ravens,shotgun,penalty,-10,,,,,,,,,,,,1,1,Dolphins,1,T,10
3,dolphins,2,16,41,dolphins,shotgun,pass,8,,Edmonds,,,,short middle,,,,,,,,,,,
3,dolphins,3,8,49,dolphins,shotgun,pass,0,,Waddle,1,,,middle left,,,,,,,,,,,
3,ravens,1,10,12,ravens,undercenter,pass,9,,Andrews,,,,middle left,,,,,,,,,,,
3,ravens,2,1,21,ravens,shotgun,run,0,Drake,,,,,,middle,,,,,,,,,,
3,ravens,3,2,21,ravens,shotgun,run,80,Jackson,,,,1,,middle,,,,,,,,,,
3,dolphins,1,10,25,dolphins,shotgun,pass,33,,Waddle,,,,deep middle,,,,,,,,,,,
4,dolphins,1,10,42,ravens,undercenter,pass,12,,Waddle,,,,,middle,,,,,,,,,,
4,dolphins,1,10,30,ravens,shotgun,run,4,Mostert,,,,,,middle,,,,,,,,,,
4,dolphins,2,6,26,ravens,undercenter,pass,16,,Waddle,,,,short left,,,,,,,,,,,
4,dolphins,1,10,10,ravens,shotgun,pass,8,,Geseicki,,,,short left,,,,,,,,,,,
4,dolphins,2,2,2,ravens,shotgun,pass,0,,Cracraft,1,,,short left,,,,,,,,,,,
4,dolphins,3,2,2,ravens,shotgun,pass,2,,Cracraft,,,1,short left,,,,,,,,,,,
4,ravens,1,10,25,ravens,undercenter,pass,26,,Duvernay,,,,deep middle,,,,,,,,,,,
4,ravens,1,10,49,dolphins,shotgun,pass,6,,Andrews,,,,short left,,,,,,,,,,,
4,ravens,2,4,44,dolphins,undercenter,run,1,Drake,,,,,,,,,,,,,,,,
4,ravens,3,3,42,dolphins,shotgun,run,1,Jackson,,,,,,middle,,,,,,,,,,
4,ravens,4,1,41,dolphins,shotgun,run,0,Jackson,,,,,,middle,,,,,,,,,,
4,dolphins,1,10,41,dolphins,undercenter,pass,7,,Geseicki,,,,short left,,,,,,,,,,,
4,dolphins,2,3,48,dolphins,shotgun,pass,4,,Hill,,,,short right,,,,,,,,,,,
4,dolphins,1,10,48,ravens,shotgun,pass,0,,Wilson,1,,,short middle,,,,,,,,,,,
4,dolphins,2,10,48,ravens,shotgun,pass,0,,Waddle,1,,,short left,,,,,,,,,,,
4,dolphins,3,10,48,ravens,shotgun,pass,48,,Hill,,,1,deep middle,,,,,,,,,,,
4,ravens,1,10,25,ravens,shotgun,penalty,5,,,,,,,,,,,,1,1,Dolphins,1,H,5
4,ravens,1,10,30,ravens,shotgun,run,-2,Hill,,,,,,right,,,,,,,,,,
4,ravens,2,12,38,ravens,shotgun,pass,0,,Bateman,1,,,short right,,,,,,,,,,,
4,ravens,3,12,38,ravens,shotgun,pass,0,,Likely,1,,,deep right,,,,,,,,,,,
4,dolphins,1,10,36,dolphins,shotgun,run,2,Edmonds,,,,,,middle,,,,,,,,,,
4,dolphins,2,8,39,dolphins,undercenter,pass,2,,Ingold,,,,short left,,,,,,,,,,,
4,dolphins,3,8,39,dolphins,shotgun,pass,60,,Hill,,,1,deep left,,,,,,,,,,,
4,ravens,1,10,25,ravens,shotgun,pass,16,,Andrews,,,,short right,,,,,,,,,,,
4,ravens,1,10,41,ravens,shotgun,penalty,9,,,,,,,,,,,,1,1,Dolphins,1,PI,9
4,ravens,1,10,50,ravens,shotgun,pass,16,,Duvernay,,,,middle,,,,,,,,,,,
4,ravens,1,10,34,dolphins,shotgun,run,-1,Drake,,,,,,middle,,,,,,,,,,
4,ravens,2,11,35,dolphins,shotgun,pass,2,,Likely,,,,screen right,,,,,,,,,,,
4,ravens,3,9,33,dolphins,shotgun,pass,0,,Andrews,1,,,deep middle,,,,,,,,,,,
4,dolphins,1,10,32,dolphins,shotgun,pass,3,,Waddle,,,,short right,,,,,,,,,,,
4,dolphins,2,7,35,dolphins,shotgun,pass,21,,Hill,,,,middle,,,,,,,,,,,
4,dolphins,1,10,44,ravens,shotgun,pass,9,,Hill,,,,short middle,,,,,,,,,,,
4,dolphins,2,1,35,ravens,shotgun,run,27,Edmonds,,,,,,middle,,,,,,,,,,
4,dolphins,1,8,8,ravens,shotgun,pass,0,,Waddle,1,,,middle,,,,,,,,,,,
4,dolphins,2,8,8,ravens,shotgun,pass,8,,Waddle,,,1,middle,,,,,,,,,,,
4,ravens,1,10,25,ravens,shotgun,pass,15,,Andrews,,,,middle,,,,,,,,,,,
4,ravens,1,10,40,ravens,shotgun,pass,0,,Wallace,1,,,short middle,,,,,,,,,,,
4,ravens,2,10,40,ravens,shotgun,pass,9,,Wallace,,,,short middle,,,,,,,,,,,
4,ravens,3,10,40,ravens,shotgun,pass,0,,Bateman,1,,,deep left,,,,,,,,,,,
